trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
189,0,189,0,10,372.301356,372.301356,0.0531451,[-0.11851851851851852],[0.17407407407407408],[1],[0],[0],[1.973676400000386],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
190,0,190,0,5,374.298421,374.298421,0.0218082,[0.2796296296296296],[0.04259259259259259],[1],[0],[0],[2.036736000000019],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
191,0,191,0,10,376.3899656,376.3899656,0.0476968,[0.04351851851851852],[-0.13055555555555556],[1],[0],[0],[1.7446106000002146],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
192,0,192,0,5,378.1643013,378.1643013,0.0227972,[-0.3490740740740741],[-0.09166666666666666],[1],[0],[0],[1.4528606000003492],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
193,0,193,0,10,379.66791,379.66791,0.0400641,[0.4185185185185185],[-0.010185185185185186],[1],[0],[0],[2.2725844999999936],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
194,0,194,0,10,381.9859717,381.9859717,0.0450097,[0.19074074074074074],[-0.15462962962962962],[1],[0],[0],[1.3781026999999995],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
195,0,195,0,5,383.3979503,383.3979503,0.0222771,[0.15925925925925927],[-0.14814814814814814],[1],[0],[0],[1.1844830999998521],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
196,0,196,0,10,384.6332592,384.6332592,0.0402215,[0.08425925925925926],[-0.03518518518518519],[1],[0],[0],[1.4542706000002],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
197,0,197,0,10,386.1337693,386.1337693,0.0433211,[-0.1287037037037037],[0.46296296296296297],[1],[0],[0],[2.017651300000125],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
198,0,198,0,5,388.1740079,388.1740079,0.0223721,[-0.3453703703703704],[-0.38425925925925924],[1],[0],[0],[2.5218469999999797],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
199,0,199,0,5,390.7260396,390.7260396,0.020628,[-0.07407407407407407],[0.007407407407407408],[1],[0],[0],[1.7713125999998738],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
